catalog,vizier_source,vizier_table,recno,Index,MCXC,OName,AName,RAJ2000,DEJ2000,GLON,GLAT,Cat,SubCat,z,zType,r_z,f_z,Scale,ERange,Rap,FX,e_FX,LX2L500,Lap,L500,e_L500,E_L500,R500,M500,e_M500,E_M500,Ovlp,Cat1,Cat2,Cat3,Cat4,L5001,e_L5001,E_L5001,L5002,e_L5002,E_L5002,L5003,e_L5003,E_L5003,L5004,e_L5004,E_L5004,NotesO,Notes,Index1,SimbadName,RA_deg,Dec_deg
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,11,10,MCXC J0006.0-3443,RXCJ0006.0-3443,A2721,1.5126,-34.7241,352.1468,-77.6683,NORAS/REFLEX,REFLEX,0.1147,S,1999ApJS..125...35S,Catalogue,2.0802,[0.1 2.4],10.0,5.832,0.79315,ITER,1.88325,2.0,0.2,0.2,0.9502,2.725,0.2,0.2,SGP|RXGCC,SGP,RXGCC,,,1.7302000522613525,0.2332299947738647,0.2330600023269653,2.752470016479492,0.426699995994568,0.427120000123978,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,10,RXCJ0006.0-3443,1.5126,-34.7241
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,12,11,MCXC J0006.3+1052,RXC J0006.3+1052,ZwCl15,1.5906,10.8677,105.3863,-50.4621,NORAS/REFLEX,NORAS,0.1698,S,2000ApJS..129..435B,Catalogue,2.8953,[0.1 2.4],10.0,3.28,0.63304,ITER,2.43081,2.0,0.4,0.4,0.9651,3.0217,0.4,0.3,eBCS|RXGCC,EBCS,RXGCC,,,2.150710105895996,0.7241100072860718,0.7330999970436096,2.7742199897766113,0.695659995079041,0.695770025253296,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,11,RXC J0006.3+1052,1.5906,10.8677
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,13,12,MCXC J0007.4-2809,RXC J0007.4-2809,A2726,1.8554,-28.1558,24.3741,-80.2013,SGP,SGP,0.0609,S,2018ApJ...869..145C,NEW,1.1754,[0.1 2.4],1e+20,2.04,0.43573,SC,1e+20,0.2,0.03,0.03,0.6052,0.6681,0.09,0.08,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,16959,RXC J0007.4-2809,1.8554,-28.1558
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,14,13,MCXC J0008.9+4110,ZwCl28,ZwCl28,2.237,41.177,114.3857,-20.9886,BCS,eBCS,0.1537,S,2000MNRAS.318..333E,Catalogue,2.6679,[0.1 2.4],4.4,3.37778,1.12593,ITER,2.02424,2.0,0.7,0.8,0.9625,2.9474,0.7,0.6,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,12,ZwCl28,2.237,41.177
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,15,14,MCXC J0009.7-3516,MS0007.2-3532,,2.4438,-35.275,347.8837,-77.9418,EMSS,EMSS_1994,0.05,S,1991ApJS...76..813S,Catalogue,0.9775,[0.3 3.5],1e+20,4.822,1.17321,SC,1e+20,0.3,0.06,0.06,0.6717,0.9037,0.1,0.1,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,13,MS0007.2-3532,2.4438,-35.275
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,16,15,MCXC J0010.2+0205,RXGCC 7,,2.556,2.093,102.5401,-59.1372,RXGCC,RXGCC,0.1577,SP,2022A&A...658A..59X,Catalogue,2.7252,[0.1 2.4],21.244,2.24454,1.16097,ITER,1.43144,1.0,0.7,0.7,0.8697,2.1837,0.8,0.6,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,16959,,2.556,2.093
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,17,16,MCXC J0010.8-8109,RXGCC 8,,2.7,-81.16,304.8476,-35.8165,RXGCC,RXGCC,0.1246,SP,2022A&A...658A..59X,Catalogue,2.2345,[0.1 2.4],21.738,4.88712,1.31296,ITER,1.88028,2.0,0.5,0.5,0.9358,2.6296,0.4,0.4,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,16959,,2.7,-81.16
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,18,17,MCXC J0011.3-2851,RXCJ0011.3-2851,A2734,2.8364,-28.8551,19.5623,-80.9856,NORAS/REFLEX,REFLEX,0.062,S,1996A&A...310....8K,Catalogue,1.1951,[0.1 2.4],12.5,12.014,1.08126,ITER,1.0828,1.0,0.1,0.1,0.8805,2.0593,0.1,0.1,SGP|RXGCC,SGP,RXGCC,,,0.9969000220298767,0.08933000266551971,0.08923999965190887,1.1138499975204468,0.10317999869585,0.103479996323586,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,losStr (see Table 12 of Reflex paper),,14,RXCJ0011.3-2851,2.8364,-28.8551
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,19,19,MCXC J0011.7+3225,RXC J0011.7+3225,A0007,2.935,32.417,113.2886,-29.7103,NORAS/REFLEX,NORAS,0.1073,S,2000ApJS..129..435B,Catalogue,1.9625,[0.1 2.4],12.5,9.6,0.8736,ITER,2.68682,3.0,0.2,0.2,1.022,3.366,0.2,0.2,BCS|RXGCC,BCS,RXGCC,,,2.7257800102233887,0.5344399809837341,0.5412700176239014,2.284869909286499,0.233710005879402,0.234520003199577,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,16,RXC J0011.7+3225,2.935,32.417
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,20,18,MCXC J0011.7-1523,MACS J0011.7-1523,,2.9287,-15.3894,82.7468,-75.067,MACS,MACS_DR2,0.379,S,2010MNRAS.407...83E,Catalogue,5.197,[0. 0.],3.8163,1e+20,1e+20,,8.9,9.0,0.3,0.3,1.1164,5.8916,0.1,0.1,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,15,MACS J0011.7-1523,2.9287,-15.3894
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,21,20,MCXC J0012.1+0930,RXGCC 11,,3.04,9.5,107.0202,-52.154,RXGCC,RXGCC,0.1664,SP,2022A&A...658A..59X,Catalogue,2.848,[0.1 2.4],15.138,2.25996,0.48815,ITER,1.61422,1.0,0.3,0.3,0.8876,2.3424,0.3,0.3,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,16959,,3.04,9.5
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,22,21,MCXC J0012.9-0853,RXC J0012.9-0853,ACT-CL J0012.8-0855,3.2279,-8.8842,94.6093,-69.609,SGP,SGP,0.338,S,2021ApJS..253....3H,NEW,4.8283,[0.1 2.4],1e+20,1.86,0.41333,SC,1e+20,6.0,1.0,1.0,1.0444,4.6021,0.6,0.6,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,PLc_extraCl | A.1.2 | The RASS position is likely biased (and the flux probably contaminated) by a point source to the North,16959,RXC J0012.9-0853,3.2279,-8.8842
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,23,22,MCXC J0013.6-1930,RXCJ0013.6-1930,A0013,3.4094,-19.5021,72.276,-78.4556,NORAS/REFLEX,REFLEX,0.094,S,2004A&A...425..367B,Catalogue,1.7456,[0.1 2.4],11.5,6.071,0.68602,ITER,1.29626,1.0,0.1,0.1,0.8913,2.2035,0.2,0.1,SGP|RXGCC,SGP,RXGCC,,,1.1887099742889404,0.1351799964904785,0.134880006313324,1.2687499523162842,0.189319998025894,0.190270006656647,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,losStr (see Table 12 of Reflex paper),,17,RXCJ0013.6-1930,3.4094,-19.5021
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,24,25,MCXC J0014.3+0854,MS0011.7+0837,,3.5827,8.9,107.635,-52.8661,EMSS,EMSS_1994,0.163,S,1991ApJS...76..813S,Catalogue,2.8003,[0.3 3.5],1e+20,3.31,0.45951,SC,1e+20,2.0,0.3,0.3,0.9419,2.7885,0.2,0.2,RXGCC,RXGCC,,,,1.1136200428009033,0.4706000089645386,0.4660800099372864,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,20,MS0011.7+0837,3.5827,8.9
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,25,24,MCXC J0014.3-3023,RXCJ0014.3-3023,A2744,3.5783,-30.3834,8.9362,-81.2403,NORAS/REFLEX,REFLEX,0.3066,S,2004A&A...425..367B,Catalogue,4.5216,[0.1 2.4],12.0,4.964,0.92827,ITER,12.91899,10.0,2.0,2.0,1.2391,7.4183,0.9,0.8,SGP|MACS_DR2,SGP,MACS_DR2,,,11.798689842224121,2.186609983444214,2.18206000328064,13.133230209350586,0.394329994916916,0.394650012254715,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,19,RXCJ0014.3-3023,3.5783,-30.3834
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,26,23,MCXC J0014.3-6604,RXCJ0014.3-6604,A2746,3.5768,-66.0775,308.8496,-50.622,NORAS/REFLEX,REFLEX,0.1599,S,2004A&A...425..367B,Catalogue,2.7565,[0.1 2.4],7.5,4.485,0.61893,ITER,2.91602,3.0,0.4,0.4,1.013,3.4576,0.3,0.3,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,Details on source identification in Appendix of REFLEX paper,,18,RXCJ0014.3-6604,3.5768,-66.0775
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,27,26,MCXC J0015.1-1512,RXGCC 14,,3.782,-15.215,85.7801,-75.3992,RXGCC,RXGCC,0.0758,SP,2022A&A...658A..59X,Catalogue,1.4376,[0.1 2.4],9.775,3.02712,0.72346,ITER,0.41411,0.4,0.1,0.1,0.7193,1.1375,0.2,0.2,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,An SZ cluster with no z and offset = 0.28 Mpc,,16959,,3.782,-15.215
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,28,27,MCXC J0015.4-2350,RXCJ0015.4-2350,A14,3.85,-23.845,52.9301,-81.2327,NORAS/REFLEX,REFLEX,0.0645,S,1995MNRAS.274.1071C,Catalogue,1.2396,[0.1 2.4],11.5,3.426,0.62696,ITER,0.33607,0.3,0.06,0.06,0.6932,1.0071,0.1,0.1,SGP|RXGCC,SGP,RXGCC,,,0.31207001209259033,0.05655999854207039,0.05663999915122986,0.2570599913597107,0.0734400004148483,0.0744400024414062,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,Details on source identification in Appendix of REFLEX paper,,21,RXCJ0015.4-2350,3.85,-23.845
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,29,28,MCXC J0015.9+1614,MS0013.4+1558,,3.9829,16.2493,110.669,-45.7753,EMSS,EMSS_1994,0.083,S,1991ApJS...76..813S,Catalogue,1.5611,[0.3 3.5],1e+20,2.083,0.26355,SC,1e+20,0.3,0.04,0.04,0.6879,1.0021,0.07,0.07,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,22,MS0013.4+1558,3.9829,16.2493
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,30,29,MCXC J0016.3-3121,RXC J0016.3-3121,A2751,4.0825,-31.3653,1.8815,-81.2524,SGP,SGP,0.1063,S,2002MNRAS.329...87D,Revised,1.9464,[0.1 2.4],1e+20,3.5,0.62921,SC,1e+20,0.9,0.2,0.2,0.8271,1.7826,0.2,0.2,RXGCC,RXGCC,,,,1.0988999605178833,0.2101500034332275,0.2102899998426437,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,PLc |   | Possible point source contamination from Swift image,23,RXC J0016.3-3121,4.0825,-31.3653
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,31,30,MCXC J0016.7+0646,RXC J0016.7+0646,A0016,4.1895,6.7736,107.7751,-55.0743,NORAS/REFLEX,NORAS,0.0833,S,2000ApJS..129..435B,Catalogue,1.5662,[0.1 2.4],8.5,1.95,0.3939,ITER,0.32531,0.3,0.06,0.07,0.6829,0.9808,0.1,0.1,eBCS|RXGCC,EBCS,RXGCC,,,0.439300000667572,0.1335700005292892,0.1372199952602386,0.2321700006723404,0.0775000005960464,0.0786300003528595,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,24,RXC J0016.7+0646,4.1895,6.7736
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,32,31,MCXC J0017.5-3509,RXCJ0017.5-3509,A2755,4.3904,-35.165,342.8555,-79.187,NORAS/REFLEX,REFLEX,0.0968,S,2004A&A...425..367B,Catalogue,1.7919,[0.1 2.4],11.5,3.211,0.6422,ITER,0.73035,0.7,0.1,0.1,0.7919,1.5499,0.2,0.2,SGP|RXGCC,SGP,RXGCC,,,0.6692600250244141,0.1331200003623962,0.1331699937582016,0.7207000255584717,0.159109994769096,0.160139992833138,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,losStr (see Table 12 of Reflex paper),,25,RXCJ0017.5-3509,4.3904,-35.165
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,33,32,MCXC J0018.5+1626,MACS J0018.5+1626,,4.641,16.438,111.6086,-45.7097,MACS,MACS_DR1,0.5456,S,2007ApJ...661L..33E,Catalogue,6.386,[0. 0.],1e+20,1e+20,1e+20,,1e+20,20.0,0.3,0.3,1.17,8.2446,0.08,0.08,EMSS_2004,EMSS_2004,,,,17.590469360351562,0.3319000005722046,0.3319000005722046,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,26,MACS J0018.5+1626,4.641,16.438
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,34,33,MCXC J0018.9-4051,SMACS J0018.9-4051,,4.7535,-40.8655,326.8075,-74.7246,MACS,MACS_MISC,0.477,S,2018MNRAS.479..844R,Catalogue,5.9505,[0. 0.],1e+20,1e+20,1e+20,,1e+20,3.0,0.09,0.09,0.8537,2.953,0.05,0.05,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,16959,SMACS J0018.9-4051,4.7535,-40.8655
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,35,34,MCXC J0019.0-2026,RXC J0019.0-2026,S26,4.7662,-20.4381,73.3242,-80.0254,SGP,SGP,0.2773,S,2002ApJS..140..239C,Catalogue,4.2149,[0.1 2.4],1e+20,2.93,0.53816,SC,1e+20,6.0,1.0,1.0,1.087,4.8463,0.5,0.5,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,27,RXC J0019.0-2026,4.7662,-20.4381
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,36,35,MCXC J0019.6+2517,RXC J0019.6+2517,,4.9128,25.2908,113.9242,-37.0244,NORAS/REFLEX,NORAS,0.3657,S,2015ApJ...807..178W,Revised,5.0811,[0.1 2.4],9.0,3.28,0.70848,ITER,12.5728,10.0,2.0,2.0,1.1904,7.0329,0.9,0.9,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,"losStr | A.4 | Superposition along the line of sight of a rich cluster at z=0.365, and a more nearby group at z=0.1353.",28,RXC J0019.6+2517,4.9128,25.2908
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,37,36,MCXC J0020.1+0005,RXC J0020.1+0005,,5.0444,0.0917,106.2298,-61.7621,NORAS/REFLEX,NORAS,0.2124,S,2000ApJS..129..435B,Catalogue,3.4577,[0.1 2.4],3.0,0.53,0.18603,ITER,0.64918,0.7,0.2,0.2,0.7379,1.4129,0.3,0.3,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,29,RXC J0020.1+0005,5.0444,0.0917
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,38,37,MCXC J0020.5-4913,RXC J0020.5-4913,A2764,5.1421,-49.2278,315.9631,-67.1121,SGP,SGP,0.0711,S,1999ApJS..125...35S,Catalogue,1.3559,[0.1 2.4],1e+20,2.44,0.59032,SC,1e+20,0.3,0.06,0.06,0.6642,0.8919,0.1,0.1,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,30,RXC J0020.5-4913,5.1421,-49.2278
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,39,38,MCXC J0020.6+2840,RXC J0020.6+2840,A0021,5.1705,28.6751,114.8195,-33.7117,NORAS/REFLEX,NORAS,0.094,S,2000ApJS..129..435B,Catalogue,1.7456,[0.1 2.4],12.5,7.08,0.82128,ITER,1.50986,1.0,0.2,0.2,0.9178,2.4062,0.2,0.2,BCS|RXGCC,BCS,RXGCC,,,1.7437399625778198,0.3517400026321411,0.3552399873733521,1.437980055809021,0.166740000247955,0.166850000619888,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,31,RXC J0020.6+2840,5.1705,28.6751
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,40,39,MCXC J0020.7-2542,RXCJ0020.7-2542,A0022,5.1785,-25.7103,42.8511,-82.9779,NORAS/REFLEX,REFLEX,0.141,S,1999ApJS..125...35S,Catalogue,2.4824,[0.1 2.4],7.5,5.91,0.71511,ITER,2.93965,3.0,0.4,0.4,1.0283,3.5472,0.3,0.3,SGP|RXGCC,SGP,RXGCC,,,2.6429600715637207,0.3174000084400177,0.3173800110816956,4.224279880523682,0.684539973735809,0.683790028095245,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,32,RXCJ0020.7-2542,5.1785,-25.7103
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,41,40,MCXC J0021.3+2219,RXGCC 21,,5.329,22.326,113.8246,-40.0124,RXGCC,RXGCC,0.019,SP,2022A&A...658A..59X,Catalogue,0.3855,[0.1 2.4],29.638,7.09453,1.24594,ITER,0.05795,0.06,0.01,0.01,0.4987,0.3593,0.04,0.04,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,16959,,5.329,22.326
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,42,41,MCXC J0021.5+2803,RXC J0021.5+2803,IV Zw 015,5.3997,28.0513,114.9538,-34.3578,NORAS/REFLEX,NORAS,0.0948,S,2000ApJS..129..435B,Catalogue,1.7589,[0.1 2.4],11.0,4.64,0.96976,ITER,1.00992,1.0,0.2,0.2,0.8475,1.896,0.3,0.2,BCS|RXGCC,BCS,RXGCC,,,0.9396399855613708,0.2635200023651123,0.2668600082397461,1.0516200065612793,0.160579994320869,0.160459995269775,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,33,RXC J0021.5+2803,5.3997,28.0513
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,43,42,MCXC J0022.0+0422,WARP J0022.0+0422,GHO 00190.5+0405,5.5142,4.3772,109.1284,-57.705,WARPS,WARPS,0.407,S,2002ApJS..140..265P,Catalogue,5.4297,[0.5 2. ],1e+20,0.072,1e+20,SC,1e+20,0.6,1e+20,1e+20,0.641,1.1517,1e+20,1e+20,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,34,WARPS J0022.0+0422,5.5142,4.3772
